series,p,subjective_prob
a hispanic,0.31,0.016666666666666666
a hispanic,0.33,0.013333333333333334
a hispanic,0.35,0.02
a hispanic,0.37,0.02666666666666667
a hispanic,0.39,0.023333333333333334
a hispanic,0.41,0.049999999999999996
a hispanic,0.43,0.05666666666666667
a hispanic,0.45,0.05333333333333334
a hispanic,0.47,0.06333333333333334
a hispanic,0.49,0.03666666666666667
a hispanic,0.51,0.20333333333333334
a hispanic,0.53,0.21
a hispanic,0.55,0.35000000000000003
a hispanic,0.57,0.31
a hispanic,0.59,0.43
a hispanic,0.61,0.5466666666666667
a hispanic,0.63,0.5566666666666668
a hispanic,0.65,0.5733333333333334
a hispanic,0.67,0.5866666666666667
a hispanic,0.69,0.6333333333333333
a hispanic,0.71,0.71
a hispanic,0.73,0.7433333333333333
a hispanic,0.75,0.7366666666666667
a hispanic,0.77,0.77
a hispanic,0.79,0.8099999999999999
a hispanic,0.81,0.8366666666666668
a hispanic,0.83,0.8333333333333334
a hispanic,0.85,0.84
a hispanic,0.87,0.8966666666666666
a hispanic,0.89,0.8966666666666666
a hispanic,0.91,0.9266666666666666
a hispanic,0.93,0.9166666666666666
a hispanic,0.95,0.9383333333333334
a hispanic,0.97,0.9516666666666667
a hispanic,0.99,0.9266666666666666
a low-income,0.01,0.005
a low-income,0.03,0.005
a low-income,0.05,0.005
a low-income,0.07,0.005
a low-income,0.09,0.005
a low-income,0.11,0.005
a low-income,0.13,0.005
a low-income,0.15,0.005
a low-income,0.17,0.005
a low-income,0.19,0.005
a low-income,0.21,0.006666666666666667
a low-income,0.23,0.01
a low-income,0.25,0.005
a low-income,0.27,0.01
a low-income,0.29,0.011666666666666667
a low-income,0.31,0.01
a low-income,0.33,0.013333333333333334
a low-income,0.35,0.013333333333333334
a low-income,0.37,0.016666666666666666
a low-income,0.39,0.013333333333333334
a low-income,0.41,0.03
a low-income,0.43,0.04666666666666667
a low-income,0.45,0.05000000000000001
a low-income,0.47,0.05666666666666667
a low-income,0.49,0.02
a low-income,0.51,0.14666666666666667
a low-income,0.53,0.18666666666666668
a low-income,0.55,0.2733333333333334
a low-income,0.57,0.2966666666666667
a low-income,0.59,0.32666666666666666
a low-income,0.61,0.48333333333333334
a low-income,0.63,0.51
a low-income,0.65,0.54
a low-income,0.67,0.5133333333333333
a low-income,0.69,0.61
a low-income,0.71,0.6866666666666666
a low-income,0.73,0.6833333333333332
a low-income,0.75,0.7033333333333333
a low-income,0.77,0.7466666666666667
a low-income,0.79,0.7766666666666667
